frame,time_s,angle_deg,leaflet_left_len,leaflet_right_len,asymmetry,tip_left_x,tip_left_y,tip_right_x,tip_right_y,base_left_x,base_left_y,base_right_x,base_right_y,angle_smooth_deg,speed_deg_s,asymmetry_smooth
43,1.4347681014347682,nan,nan,nan,nan,50.0,403.0,70.0,432.0,nan,nan,nan,nan,1.4214770793914795,nan,0.004176046699285507
44,1.4681348014681348,nan,nan,nan,nan,nan,nan,nan,nan,356.0,212.0,380.0,226.0,1.4214770793914795,0.0,0.004176046699285507
45,1.5015015015015016,1.4214771,367.28635,365.75574,0.0041760467,50.0,403.0,56.0,410.0,356.0,210.0,378.0,225.0,1.4214770793914795,0.0,0.004176046699285507
46,1.5348682015348682,nan,nan,nan,nan,49.0,401.0,56.0,410.0,353.0,210.0,nan,nan,1.4214770793914795,0.0,0.004176046699285507
47,1.5682349015682349,nan,nan,nan,nan,nan,nan,48.0,425.0,nan,nan,330.0,232.0,1.4214770793914795,-11.72256803959608,0.004176046699285507
48,1.6016016016016017,nan,nan,nan,nan,44.0,421.0,47.0,423.0,330.0,232.0,nan,nan,0.6391902565956116,-11.72256803959608,0.006790186278522015
49,1.6349683016349683,nan,nan,nan,nan,nan,nan,44.0,421.0,330.0,232.0,359.0,254.0,0.6391902565956116,0.0,0.006790186278522015
50,1.6683350016683351,0.63919026,343.54767,341.2228,0.0067901863,44.0,421.0,48.0,423.0,313.0,226.0,359.0,254.0,0.6391902565956116,0.0,0.006790186278522015
51,1.7017017017017018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,364.0,258.0,0.6391902565956116,0.0,0.006790186278522015
52,1.7350684017350684,nan,nan,nan,nan,12.0,30.0,56.0,410.0,364.0,258.0,nan,nan,0.6391902565956116,nan,0.006790186278522015
53,1.7684351017684352,nan,nan,nan,nan,nan,nan,nan,nan,361.0,243.0,385.0,233.0,nan,837.9883313521742,nan
54,1.8018018018018018,nan,nan,nan,nan,686.0,46.0,686.0,45.0,361.0,243.0,nan,nan,56.56100082397461,nan,0.08811774104833603
55,1.8351685018351687,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,385.0,233.0,56.56100082397461,0.0,0.08811774104833603
