index,filename,avg_diameter_px,max_diameter_px,min_diameter_px,area_px
0,frame_0000.jpg,90.04861111111111,263,3,3266
1,frame_0062.jpg,166.80794701986756,335,2,8689
2,frame_0092.jpg,139.4,335,18,8602
3,frame_0094.jpg,20.75,30,7,217
4,frame_0107.jpg,85.90441176470588,293,2,3043
5,frame_0121.jpg,158.04166666666666,334,4,8171
6,frame_0132.jpg,105.93661971830986,335,1,2898
7,frame_0173.jpg,119.9119496855346,295,2,3869
8,frame_0178.jpg,143.08552631578948,326,5,8441
9,frame_0180.jpg,115.9375,303,3,3693
10,frame_0238.jpg,118.72222222222223,295,3,3965
11,frame_0264.jpg,134.79850746268656,334,4,4038
12,frame_0312.jpg,96.4625,319,3,3691
13,frame_0421.jpg,135.40441176470588,343,2,7607
14,frame_0441.jpg,82.54716981132076,295,2,3638
15,frame_0498.jpg,127.525,335,3,3414
16,frame_0555.jpg,79.85185185185185,271,1,2984
17,frame_0635.jpg,107.0251572327044,318,3,3632
18,frame_0690.jpg,127.61184210526316,335,3,8065
19,frame_0743.jpg,85.6125,271,3,3466
20,frame_0850.jpg,105.95454545454545,319,2,9047
21,frame_0854.jpg,105.38888888888889,327,3,3136
22,frame_0952.jpg,83.32954545454545,327,2,3219
23,frame_1040.jpg,104.5079365079365,327,2,2768
24,frame_1086.jpg,122.85526315789474,335,7,7725
25,frame_1096.jpg,100.0,326,3,3479
26,frame_1119.jpg,99.40441176470588,334,2,2972
27,frame_1152.jpg,113.91472868217055,334,2,3164
28,frame_1176.jpg,109.1796875,334,11,6892
29,frame_1178.jpg,93.4296875,334,4,2928
30,frame_1254.jpg,110.1044776119403,335,2,3169
31,frame_1310.jpg,111.99305555555556,303,3,3391
