frame,time_s,angle_deg,leaflet_left_len,leaflet_right_len,asymmetry,tip_left_x,tip_left_y,tip_right_x,tip_right_y,base_left_x,base_left_y,base_right_x,base_right_y,angle_smooth_deg,angle_plot_deg,speed_deg_s,asymmetry_smooth,asymmetry_plot
31,1.0343677010343677,nan,nan,nan,nan,282.0,300.0,342.0,287.0,nan,nan,nan,nan,30.14138194673567,30.956532861039033,0.0,nan,0.2631527946181692
32,1.0677344010677345,22.57620843249661,131.344013948105,161.22112144505135,0.20424243276148926,279.0,300.0,342.0,287.0,205.0,431.0,334.0,431.0,30.14138194673567,30.956532861039033,0.0,0.2412362190777959,0.2631527946181692
33,1.1011011011011012,nan,nan,nan,nan,nan,nan,344.0,287.0,nan,nan,nan,nan,28.250088568175904,30.956532861039033,0.0,nan,0.2631527946181692
34,1.1344678011344678,37.70655546097473,72.8920434615466,92.4026514771086,0.23607058923219346,289.0,300.0,344.0,287.0,261.0,362.0,350.0,380.0,26.35879518961614,30.956532861039033,0.0,0.31731720539012076,0.2631527946181692
35,1.1678345011678346,nan,nan,nan,nan,285.0,301.0,nan,nan,267.0,364.0,350.0,382.0,nan,30.956532861039033,0.0,nan,0.27927671223395834
36,1.2012012012012012,nan,nan,nan,nan,nan,nan,368.0,296.0,267.0,364.0,347.0,382.0,nan,30.956532861039033,34.44854950313606,nan,0.290235000004145
37,1.234567901234568,nan,150.15408752345039,94.10765112359356,0.45890475283026977,183.0,298.0,368.0,298.0,272.0,366.0,353.0,382.0,nan,33.25540169675048,68.89709900627207,0.23607058923219346,0.290235000004145
38,1.2679346012679347,nan,148.61443402307867,92.37017917055266,0.4667871040159208,186.0,296.0,365.0,298.0,272.0,366.0,353.0,382.0,nan,35.55427053246193,68.89709900627201,0.31731720539012076,0.290235000004145
39,1.3013013013013013,nan,nan,nan,nan,183.0,296.0,368.0,298.0,269.0,364.0,nan,nan,nan,37.85313936817337,34.44854950313601,nan,0.290235000004145
40,1.3346680013346681,nan,142.68847185389575,95.26804291051643,0.39856382154804804,186.0,298.0,368.0,298.0,272.0,364.0,344.0,380.0,nan,37.85313936817337,0.0,0.31731720539012076,0.290235000004145
41,1.3680347013680347,nan,nan,nan,nan,nan,nan,nan,nan,269.0,364.0,350.0,382.0,nan,37.85313936817337,0.0,nan,0.290235000004145
42,1.4014014014014013,nan,nan,nan,nan,292.0,301.0,353.0,296.0,nan,nan,347.0,382.0,nan,37.85313936817337,0.0,nan,0.290235000004145
43,1.4347681014347682,nan,nan,nan,nan,nan,nan,nan,nan,275.0,366.0,347.0,382.0,nan,37.85313936817337,0.0,nan,0.290235000004145
44,1.4681348014681348,56.93697634905939,89.9180182165955,81.52453618389987,0.09791597030324435,260.0,301.0,342.0,298.0,275.0,366.0,350.0,382.0,49.347483546730615,37.85313936817337,0.0,0.38025866329963987,0.31731720539012076
45,1.5015015015015016,nan,nan,nan,nan,nan,nan,nan,nan,269.0,364.0,353.0,382.0,49.347483546730615,37.85313936817337,0.0,nan,0.31731720539012076
46,1.5348682015348682,46.81765261262102,75.43374576408094,88.43783127146436,0.15871068970749835,287.0,301.0,353.0,296.0,269.0,364.0,350.0,382.0,49.347483546730615,37.85313936817337,0.0,0.33236497830206935,0.31731720539012076
47,1.5682349015682349,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,355.0,384.0,nan,37.85313936817337,0.0,nan,0.31731720539012076
48,1.6016016016016017,nan,130.50766261028508,93.31264651696468,0.33236497830206935,201.0,298.0,347.0,287.0,264.0,362.0,353.0,382.0,nan,37.85313936817337,0.0,0.17326343413129403,0.33236497830206935
49,1.6349683016349683,nan,134.3772674227304,89.88464829991827,0.39679157274155696,198.0,298.0,344.0,290.0,269.0,364.0,350.0,382.0,nan,37.85313936817337,-21.102589431284,0.1659870619193962,0.33236497830206935
50,1.6683350016683351,nan,132.01893803541975,91.3892772703669,0.36372575385772277,201.0,300.0,347.0,289.0,272.0,364.0,350.0,382.0,nan,36.44489182521148,-69.43892366802508,0.15871068970749835,0.33305256986750054
51,1.7017017017017018,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,347.0,382.0,nan,33.21924389483169,nan,nan,0.3487879343448803
52,1.7350684017350684,24.50604853900683,106.21322893124001,126.3615843522073,0.17326343413129403,308.0,270.0,358.0,252.0,307.0,367.0,347.0,382.0,29.993595964451913,29.993595964451913,-57.27816739617817,0.17326343413129403,0.35456286160851314
53,1.7684351017684352,nan,nan,nan,nan,nan,nan,361.0,256.0,nan,nan,353.0,382.0,29.39687703489321,29.39687703489321,-17.883666318874326,nan,0.3563118208008546
54,1.8018018018018018,26.4132823870997,115.47835294980614,123.17568753613678,0.06450621636790621,300.0,260.0,355.0,258.0,277.0,367.0,353.0,382.0,28.800158105334507,28.800158105334507,-8.941833159437136,0.33236497830206935,0.3563118208008546
55,1.8351685018351687,nan,nan,nan,nan,296.0,258.0,nan,nan,280.0,367.0,350.0,380.0,28.800158105334507,28.800158105334507,0.0,nan,0.3563118208008546
56,1.8685352018685353,31.187033823569315,116.40661493231387,126.4614565786746,0.08280085219769863,299.0,258.0,365.0,258.0,277.0,367.0,350.0,380.0,28.800158105334507,28.800158105334507,0.0,0.37676074491495687,0.37676074491495687
57,1.901901901901902,31.187033823569315,116.40661493231387,126.4614565786746,0.08280085219769863,299.0,258.0,365.0,258.0,277.0,367.0,350.0,380.0,28.800158105334507,28.800158105334507,-3.6536123206501343,0.37676074491495687,0.37676074491495687
58,1.9352686019352687,nan,nan,nan,nan,nan,nan,nan,nan,280.0,360.0,nan,nan,nan,28.556340132651815,-3.6536123206501343,nan,0.37676074491495687
59,1.9686353019686353,nan,147.0008503376766,99.04670615421797,0.38979573597219097,196.0,290.0,369.0,285.0,277.0,357.0,361.0,384.0,nan,28.556340132651815,0.0,0.3928832581624561,0.37676074491495687
60,2.002002002002002,nan,145.47336525976155,94.6176516301266,0.4236369547550267,201.0,287.0,366.0,285.0,277.0,357.0,366.0,380.0,nan,28.556340132651815,0.0,0.3928832581624561,0.37676074491495687
61,2.0353687020353686,nan,nan,nan,nan,199.0,283.0,370.0,287.0,277.0,355.0,nan,nan,nan,28.556340132651815,0.0,nan,0.37676074491495687
62,2.0687354020687354,nan,142.56226709757388,95.44108130150245,0.39597078035272126,197.0,285.0,370.0,287.0,280.0,355.0,350.0,375.0,nan,28.556340132651815,0.0,0.39597078035272126,0.37676074491495687
63,2.1021021021021022,nan,142.56226709757388,95.44108130150245,0.39597078035272126,197.0,285.0,370.0,287.0,280.0,355.0,350.0,375.0,nan,28.556340132651815,0.0,0.39597078035272126,0.37676074491495687
64,2.135468802135469,nan,142.56226709757388,95.44108130150245,0.39597078035272126,197.0,285.0,370.0,287.0,280.0,355.0,350.0,375.0,nan,28.556340132651815,0.0,0.39597078035272126,0.37676074491495687
65,2.1688355021688355,nan,142.56226709757388,95.44108130150245,0.39597078035272126,197.0,285.0,370.0,287.0,280.0,355.0,350.0,375.0,nan,28.556340132651815,0.0,0.39597078035272126,0.37676074491495687
66,2.2022022022022023,nan,nan,nan,nan,nan,nan,nan,nan,280.0,358.0,352.0,377.0,nan,28.556340132651815,0.0,nan,0.37676074491495687
67,2.235568902235569,37.418938478959305,114.54256850621083,123.90722335683259,0.07854613566616546,291.0,256.0,368.0,256.0,280.0,360.0,350.0,376.0,26.361978378507576,28.556340132651815,0.0,0.39597078035272126,0.37676074491495687
68,2.2689356022689355,nan,nan,nan,nan,291.0,256.0,368.0,256.0,nan,nan,347.0,376.0,nan,28.556340132651815,0.2551985352023737,nan,0.35150637263213913
69,2.3023023023023024,nan,nan,nan,nan,nan,nan,nan,nan,318.0,363.0,353.0,378.0,nan,28.57337039859792,16.824053245729324,nan,0.307041964911557
70,2.335669002335669,nan,nan,nan,nan,294.0,298.0,355.0,281.0,nan,nan,353.0,378.0,nan,29.679066408643095,33.13770942105385,nan,0.2625775571909749
71,2.3690357023690356,nan,nan,nan,nan,nan,nan,nan,nan,277.0,360.0,350.0,376.0,nan,30.784762418688267,33.13770942105379,nan,0.2181131494703928
72,2.4024024024024024,26.361978378507576,105.38500842150178,125.7179382586272,0.17596426293316245,306.0,263.0,361.0,251.0,280.0,360.0,350.0,376.0,31.89045842873344,31.89045842873344,16.568854710526896,0.17364874174981065,0.17364874174981065
73,2.4357691024357693,nan,nan,nan,nan,nan,nan,358.0,252.0,nan,nan,nan,nan,31.89045842873344,31.89045842873344,0.0,nan,0.1697377816971722
74,2.469135802469136,18.608034574030103,169.84993376507393,202.14846029589245,0.17364874174981065,294.0,263.0,361.0,251.0,215.0,431.0,323.0,431.0,31.89045842873344,31.89045842873344,33.6504821441874,0.14974966112271257,0.1697377816971722
75,2.5025025025025025,nan,nan,nan,nan,nan,nan,358.0,251.0,221.0,431.0,323.0,431.0,nan,34.136069516099965,67.3009642883749,nan,0.1697377816971722
76,2.5358692025358693,nan,nan,nan,nan,310.0,261.0,358.0,251.0,nan,nan,nan,nan,nan,36.3816806034665,67.30096428837501,nan,0.1697377816971722
77,2.569235902569236,nan,nan,nan,nan,nan,nan,nan,nan,205.0,431.0,328.0,431.0,nan,38.62729169083303,67.3009642883749,nan,0.1697377816971722
78,2.6026026026026026,62.585129481647094,151.6377261765686,172.00290695217916,0.12585058049561448,199.0,294.0,368.0,294.0,205.0,431.0,323.0,431.0,40.87290277819956,40.87290277819956,nan,0.14974966112271257,0.1697377816971722
79,2.6359693026359694,nan,nan,nan,nan,nan,nan,nan,nan,205.0,431.0,318.0,431.0,nan,44.158986850306036,nan,nan,0.1697377816971722
80,2.6693360026693362,nan,nan,nan,nan,199.0,294.0,360.0,294.0,nan,nan,318.0,431.0,nan,47.44507092241252,nan,nan,0.1697377816971722
81,2.7027027027027026,nan,nan,nan,nan,nan,nan,353.0,292.0,194.0,429.0,323.0,431.0,nan,50.731154994519,73.70779482921172,nan,0.1697377816971722
82,2.7360694027360695,55.38382717789155,146.5136512411045,165.57853121706327,0.12217467176393752,204.0,294.0,350.0,292.0,194.0,429.0,323.0,431.0,54.01723906662548,52.36384268278701,25.540280499820383,0.1621541877217731,0.1697377816971722
83,2.7694361027694363,nan,nan,nan,nan,nan,nan,355.0,290.0,nan,nan,320.0,431.0,nan,52.435544750930106,2.148910982248713,nan,0.1697377816971722
84,2.8028028028028027,nan,nan,nan,nan,257.0,294.0,353.0,292.0,205.0,431.0,nan,nan,nan,52.50724681907321,3.2233664733731224,nan,0.17732137567257134
85,2.8361695028361695,nan,nan,nan,nan,nan,nan,355.0,292.0,nan,nan,320.0,431.0,nan,52.65065095535941,2.148910982248713,nan,0.18490496964797043
86,2.8695362028695364,nan,nan,nan,nan,274.0,294.0,355.0,292.0,194.0,429.0,nan,nan,nan,52.65065095535941,0.0,nan,0.19248856362336955
87,2.902902902902903,29.326539007984348,136.57324042432325,170.03602559457804,0.21827641156932248,271.0,294.0,355.0,290.0,194.0,429.0,323.0,431.0,52.50724681907321,52.65065095535941,0.0,0.20007215759876867,0.19845779494793173
88,2.9362696029362696,nan,nan,nan,nan,nan,nan,361.0,290.0,194.0,429.0,318.0,431.0,52.435544750930106,52.65065095535941,0.0,nan,0.19845779494793173
89,2.9696363029696364,52.65065095535941,143.40502083260543,175.0,0.19845779494793173,217.0,292.0,361.0,290.0,194.0,429.0,318.0,431.0,52.36384268278701,52.65065095535941,0.0,0.19845779494793173,0.19926497627335021
90,3.0030030030030033,53.101339415049544,146.4547711752676,176.81911661356077,0.18785523103015364,214.0,290.0,361.0,287.0,194.0,429.0,320.0,431.0,52.65065095535941,52.65065095535941,0.0,0.20007215759876867,0.20007215759876867
91,3.0363697030363697,nan,nan,nan,nan,nan,nan,362.0,290.0,194.0,429.0,318.0,431.0,52.65065095535941,52.65065095535941,0.0,nan,0.20007215759876867
92,3.0697364030697365,52.0770344102146,141.4814475470194,173.216627377397,0.2016865202496056,217.0,294.0,358.0,290.0,194.0,429.0,318.0,431.0,52.65065095535941,52.65065095535941,0.0,0.2016865202496056,0.20007215759876867
93,3.1031031031031033,nan,nan,nan,nan,nan,nan,355.0,292.0,194.0,429.0,318.0,431.0,52.65065095535941,52.65065095535941,-2.148910982248713,nan,0.20087933892418713
94,3.1364698031364697,29.690840996647175,134.72935834479432,169.83815825661793,0.23054855162226984,270.0,296.0,355.0,292.0,194.0,429.0,318.0,431.0,52.65065095535941,52.50724681907321,-3.2233664733731224,0.2016865202496056,0.2016865202496056
95,3.1698365031698366,nan,nan,nan,nan,nan,nan,360.0,290.0,194.0,429.0,323.0,431.0,52.65065095535941,52.435544750930106,-1.2232031761264257,nan,0.2016865202496056
96,3.2032032032032034,62.215695912197,155.42281042369552,174.10413550516253,0.11338268576980132,191.0,290.0,362.0,290.0,197.0,429.0,320.0,431.0,52.65065095535941,52.425618312157866,-1.0744554911243032,0.19845779494793173,0.2016865202496056
97,3.2365699032365702,nan,nan,nan,nan,nan,nan,nan,nan,197.0,429.0,320.0,431.0,52.425618312157866,52.36384268278701,-3.3721141583751386,nan,0.20728766544193472
98,3.2699366032699366,54.9000272810457,156.7585723333815,211.4976359205937,0.29728793356531996,190.0,289.0,361.0,245.0,197.0,429.0,320.0,431.0,52.20058566895632,52.20058566895632,-25.75326456425647,0.21611753593593772,0.21611753593593772
99,3.3033033033033035,nan,nan,nan,nan,189.0,289.0,nan,nan,197.0,429.0,nan,nan,nan,50.64523977559605,-46.61371642400713,nan,0.22431747057700985
100,3.3366700033366703,nan,nan,nan,nan,nan,nan,350.0,290.0,197.0,429.0,318.0,431.0,nan,49.08989388223579,-46.61371642400702,nan,0.23251740521808198
101,3.3700367033700367,nan,nan,nan,nan,214.0,292.0,nan,nan,nan,nan,318.0,431.0,nan,47.53454798887553,-46.61371642400713,nan,0.2361172552281307
102,3.4034034034034035,51.424006354891866,148.7615541731129,167.2154299100415,0.1168051894062776,212.0,292.0,350.0,287.0,215.0,431.0,315.0,431.0,45.97920209551526,45.97920209551526,-64.10205412538276,0.24891727450022624,0.2407173398591541
103,3.4367701034367704,nan,nan,nan,nan,nan,nan,nan,nan,221.0,431.0,nan,nan,43.256799965826964,43.256799965826964,nan,nan,0.2416263207646654
104,3.4701368034701368,24.306051940514216,132.24220203853233,169.53170794869024,0.24713538630120008,268.0,298.0,339.0,280.0,221.0,431.0,299.0,429.0,40.534397836138666,40.534397836138666,-40.79519591337914,0.24713538630120008,0.2416263207646654
105,3.5035035035035036,nan,nan,nan,nan,267.0,295.0,342.0,280.0,nan,nan,299.0,429.0,40.534397836138666,40.534397836138666,0.0,nan,0.24713538630120008
106,3.5368702035368704,25.789983963163703,132.1854757528224,170.07351351694948,0.2506991626992524,267.0,298.0,342.0,281.0,221.0,431.0,299.0,429.0,40.534397836138666,40.534397836138666,nan,0.2361172552281307,0.24713538630120008
107,3.570236903570237,nan,nan,nan,nan,269.0,296.0,nan,nan,nan,nan,299.0,429.0,35.08959357676207,35.08959357676207,nan,nan,0.24802633040071315
108,3.6036036036036037,29.64478931738547,135.2377536045316,185.5916215781305,0.31389811450357535,271.0,296.0,366.0,287.0,194.0,429.0,299.0,429.0,29.64478931738547,29.64478931738547,nan,0.24713538630120008,0.24891727450022624
109,3.6369703036369705,nan,nan,nan,nan,nan,nan,370.0,287.0,197.0,429.0,299.0,429.0,28.746855572568407,29.265361895691456,-11.371439828169615,nan,0.24891727450022624
110,3.6703370036703373,59.917362904353666,148.82960055042813,185.5916215781305,0.21985459411765612,196.0,289.0,366.0,287.0,194.0,429.0,299.0,429.0,27.848921827751347,28.88593447399744,-7.248792917520378,0.2506991626992524,0.2506991626992524
111,3.7037037037037037,58.018503302280735,148.0,185.53975315279473,0.22509912415506136,201.0,289.0,366.0,285.0,197.0,429.0,301.0,429.0,27.3304155046283,28.781625297925665,-2.084097337914076,0.2518331350110785,0.2518331350110785
112,3.7370704037370706,nan,nan,nan,nan,nan,nan,nan,nan,197.0,429.0,301.0,429.0,nan,28.746855572568407,-7.2487929175203245,nan,0.2518331350110785
113,3.7704371037704374,nan,nan,nan,nan,292.0,292.0,363.0,285.0,nan,nan,nan,nan,nan,28.297888700159877,-7.246363624160967,nan,0.2518331350110785
114,3.803803803803804,nan,nan,nan,nan,nan,nan,nan,nan,197.0,429.0,299.0,429.0,nan,28.26328108980825,-6.727768583041819,nan,0.2518331350110785
115,3.8371705038371706,26.811909181505253,136.94524453225822,176.60407696313243,0.25296710732290467,271.0,294.0,353.0,287.0,197.0,429.0,299.0,429.0,29.265361895691456,27.848921827751347,-6.730197876401176,0.2573930883886436,0.2518331350110785
116,3.8705372038705375,26.811909181505253,136.94524453225822,176.60407696313243,0.25296710732290467,271.0,294.0,353.0,287.0,197.0,429.0,299.0,429.0,28.88593447399744,27.81415210239409,-3.1212874201523726,0.25296710732290467,0.2518331350110785
117,3.903903903903904,nan,nan,nan,nan,273.0,292.0,nan,nan,197.0,429.0,301.0,429.0,28.26328108980825,27.640627705619057,-7.248792917520378,nan,0.2518331350110785
118,3.9372706039372707,28.88593447399744,136.194713553794,176.60407696313243,0.25837288783987006,266.0,294.0,353.0,287.0,197.0,429.0,299.0,429.0,27.640627705619057,27.3304155046283,-12.41834708384534,0.25296710732290467,0.2518331350110785
119,3.9706373039706375,28.46934622973286,136.33048081775402,176.60407696313243,0.2573930883886436,267.0,294.0,353.0,287.0,197.0,429.0,299.0,429.0,26.811909181505253,26.811909181505253,-7.76981725199883,0.25296710732290467,0.2518331350110785
120,4.004004004004004,30.65860507395191,135.83077707206124,177.80044994318772,0.2676370798312496,263.0,294.0,355.0,287.0,197.0,429.0,299.0,429.0,26.811909181505253,26.811909181505253,0.0,0.25296710732290467,0.2518331350110785
121,4.037370704037371,30.65860507395191,135.83077707206124,177.80044994318772,0.2676370798312496,263.0,294.0,355.0,287.0,197.0,429.0,299.0,429.0,26.811909181505253,26.811909181505253,-50.644157591913725,0.25296710732290467,0.2518331350110785
122,4.070737404070737,nan,nan,nan,nan,265.0,294.0,nan,nan,202.0,429.0,304.0,429.0,23.43225235188138,23.43225235188138,nan,nan,0.20360107920463816
123,4.104104104104104,18.863801439220733,135.09256086106296,156.37135287513502,0.14601321818063107,261.0,294.0,312.0,283.0,205.0,429.0,307.0,429.0,20.052595522257512,20.052595522257512,-57.619091238716464,0.15423505108637164,0.15423505108637164
124,4.137470804137471,19.287741646281894,135.05924625881784,156.37135287513502,0.14625853757052673,260.0,294.0,312.0,283.0,205.0,429.0,307.0,429.0,19.5871344847665,19.5871344847665,-6.974933646802794,0.14959295998305822,0.15423505108637164
125,4.170837504170838,nan,nan,nan,nan,nan,nan,312.0,285.0,205.0,429.0,nan,nan,19.421465720628937,19.5871344847665,0.0,nan,0.15423505108637164
126,4.2042042042042045,20.518056559748523,135.0009259227506,153.9683409016282,0.13127634773981037,258.0,294.0,312.0,285.0,205.0,429.0,310.0,429.0,19.255796956491373,19.5871344847665,0.0,0.14697371813639853,0.15423505108637164
127,4.237570904237571,19.2451487265612,135.04536274896668,153.9683409016282,0.1309486568535767,261.0,294.0,312.0,285.0,205.0,429.0,310.0,429.0,19.2451487265612,19.5871344847665,0.0,0.14625853757052673,0.15423505108637164
128,4.270937604270938,19.5871344847665,135.07497917823272,156.91478579152445,0.14959295998305822,262.0,294.0,315.0,283.0,205.0,429.0,310.0,429.0,19.2451487265612,19.5871344847665,0.0,0.14625853757052673,0.15423505108637164
129,4.3043043043043046,17.470997337935476,135.3338464686495,156.91478579152445,0.1476888987022703,267.0,294.0,315.0,283.0,205.0,429.0,310.0,429.0,19.2451487265612,19.5871344847665,0.0,0.14625853757052673,0.15423505108637164
130,4.337671004337671,16.78443623588438,135.40771765302006,158.77735984705123,0.15887714218968504,268.0,294.0,315.0,281.0,205.0,429.0,310.0,429.0,19.2451487265612,19.5871344847665,0.0,0.14625853757052673,0.15423505108637164
131,4.371037704371038,nan,nan,nan,nan,265.0,294.0,315.0,285.0,nan,nan,310.0,429.0,19.416141605663853,19.5871344847665,0.0,nan,0.15423505108637164
132,4.404404404404405,18.66023972970571,134.49256485025484,153.8286384260096,0.1341286964401801,265.0,294.0,315.0,287.0,197.0,427.0,310.0,429.0,19.5871344847665,19.5871344847665,0.0,0.14959295998305822,0.15423505108637164
133,4.437771104437771,18.66023972970571,134.49256485025484,153.8286384260096,0.1341286964401801,265.0,294.0,315.0,287.0,197.0,427.0,310.0,429.0,19.5871344847665,19.5871344847665,0.0,0.15423505108637164,0.15423505108637164
134,4.471137804471138,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,310.0,429.0,19.5871344847665,19.5871344847665,0.0,nan,0.18234309972789225
135,4.504504504504505,30.479063175983534,135.1332675546625,166.97604618627187,0.21080302515211624,270.0,294.0,355.0,289.0,218.0,429.0,310.0,429.0,19.5871344847665,19.5871344847665,0.0,0.21045114836941287,0.21045114836941287
136,4.537871204537871,30.05563352592491,135.18135966175217,166.97604618627187,0.21045114836941287,271.0,294.0,355.0,289.0,221.0,429.0,307.0,429.0,19.5871344847665,19.5871344847665,3.2096638637851393,0.21080302515211624,0.21080302515211624
137,4.571237904571238,nan,nan,nan,nan,272.0,294.0,nan,nan,nan,nan,301.0,429.0,22.166646941410562,19.801326267468212,14.668252289750027,nan,0.2189425602537688
